year,month,day,irradiation_forecast,temperature_forecast,irradiation,temperature,power
2017,1,15,98.85335,0.16462925,584.0296555,8.261428867,3219.803908
2017,1,15,121.87194,0.88462925,259.354205,7.178293173,1384.751734
2017,1,15,134.60834,1.4146292,51.89457597,4.700343125,244.7752007
2017,1,15,136.17554,2.344629,42.15345857,4.099058703,196.9084624
2017,1,15,115.002365,2.4346292,12.6937261,3.326630574,46.26351699
2017,1,15,81.46512,2.2246292,0.783971456,2.414446507,0
2017,1,15,20.700874,0.7846293,0.886014254,1.997640293,0
2017,1,15,0,1.1246293,1.006410245,1.917697834,0
2017,1,15,0,0.57462925,0.993816922,1.951560489,0
2017,1,15,0,0.75462925,0.993613539,2.011684996,0
2017,1,15,0,0.6646293,0.987487709,1.972026168,0
2017,1,15,0,0.50462925,0.987527326,1.897153949,0
2017,1,15,0,0.37462923,0.900584399,1.771897374,0
2017,1,16,0,0.36462924,0.954569889,1.808897658,0
2017,1,16,0,0.24462923,0.896892763,1.927313613,0
2017,1,16,0,0.08537075,0.91444935,2.04621949,0
2017,1,16,0,0.42537075,0.986715534,1.729943151,0
2017,1,16,0,0.5453707,0.935278645,1.865274335,0
2017,1,16,0,0.81537074,0.815678389,1.642765063,0
2017,1,16,0,1.1853707,0.858613796,1.765845067,0
2017,1,16,0,1.3153707,0.935897327,2.044420749,0
2017,1,16,0,1.3253707,0.965652843,2.187993549,0
2017,1,16,0,1.2153708,3.353350363,2.367712841,0
2017,1,16,32.882187,0.61537075,13.23562089,2.522568214,5.293943141
2017,1,16,88.70615,0.005370751,13.08750625,2.722950558,5.387851546
2017,1,16,122.989204,0.5346293,15.39552998,2.376383107,2.395362524
2017,1,16,130.17874,0.9246293,30.05802379,2.762124086,26.91474717
2017,1,16,159.15544,1.5046293,41.18966714,3.022079131,54.92399662
2017,1,16,110.27708,1.8846292,25.58347063,2.337182477,32.21565127
2017,1,16,64.5884,1.9346293,2.234830213,1.281789046,0
2017,1,16,28.735453,1.6646292,1.048972532,0.507159098,0
2017,1,16,0.23216778,0.8946293,0.999920201,0.16565732,0
2017,1,16,0,0.34537077,1.011834142,0.128350519,0
2017,1,16,0,1.0053707,1.012333293,0.411597201,0
2017,1,16,0,1.2953707,1.128986857,1.071342025,0
2017,1,16,0,1.4453707,1.061385844,2.044417924,0
2017,1,16,0,1.1453707,1.05557531,1.476863617,0
